body,title,url
"Quizás la mayor preocupación que hoy vive el Cauca es que se normalice la barbarie. Desde hace un poco más de dos años, en las áreas rurales de esa región los pobladores viven al límite de ser alcanzados por una bala de fusil. Hay miedo, dolor, zozobra, grupos armados con mentalidad de mafiosos mexicanos, masacres, pero todo sigue como si nada: la violencia parece sentirse cómoda en este lugar.","
                        Cauca grita con dolor: radiografía de la violencia en esa región
                    ",https://www.semana.com/nacion/articulo/violencia-en-el-cauca-radiografia-de-la-lucha-armada-en-esa-region/673451
"Tras dos meses de la cuarentena en todo el país, el Gobierno nacional entregó este lunes un balance de las medidas adoptadas en las últimas semanas y su impacto en temas como la educación, la economía de los hogares y la seguridad.","
                        Colombia registra la tasa de homicidios más baja en 46 años
                    ",https://www.semana.com/nacion/articulo/cifras-de-seguridad-y-orden-publico-durante-cuarentena-en-colombia/673816
En redes sociales circula un video que ha despertado gran indignación. Se trata de una entrevista que le hace el periodista Fabio Zuleta (de la emisora 1050 AM en Valledupar) a un indígena. En esta hablan abiertamente del comercio de mujeres indígenas.,"
                        Indignación por periodista que manifiesta su deseo de comprar una indígena wayúu
                    ",https://www.semana.com/nacion/articulo/indignacion-por-periodista-que-manifiesta-su-deseo-de-comprar-una-indigena-wayuu/673743
"Estados Unidos corre hacia el abismo sin un plan federal para enfrentar la pandemia de coronavirus, retirando financiación a la salud pública mientras ignora el inexorable avance del calentamiento climático, dijo a la AFP el filósofo estadounidense Noam Chomsky, considerado el fundador de la lingüística moderna.","
                        ""EE. UU. corre hacia el precipicio"": Noam Chomsky
                    ",https://www.semana.com/gente/articulo/entrevista-al-filosofo-noam-chomsky-sobre-la-situacion-de-estados-unidos/673760
"""Estamos muy felices de tener por fin a nuestro propio hijo. Estamos totalmente enamorados"". Julia y Peter, un matrimonio alemán, hablan con regocijo de su hijita nacida a principios de mayo. Durante años soñaron con tener su propia descendencia, pero todos sus intentos fallaron. La pareja vive ahora en un complejo de viviendas en un triste barrio de las afueras de Kiev, la capital de Ucrania. La clínica privada BioTexCom llama ""hotel"" al lugar donde se alojan.","
                        Los bebés de vientres de alquiler que siguen esperando a sus padres en Ucrania
                    ",https://www.semana.com/mundo/articulo/coronavirus-padres-no-conocen-aun--sus-hijos-de-vientres-de-alquiler-en-ucrania/673792
"La llegada del coronavirus al mundo trajo la preocupación a los laboratorios y médicos de encontrar una nueva vacuna que contrarreste los síntomas del virus y disminuya los fallecimientos de las personas a causa de la pandemia, pero la búsqueda de una solución a esta problema interrumpió la prestación de servicios sistemáticos de inmunización.","
                        80 millones de niños no han sido vacunados por culpa del coronavirus
                    ",https://www.semana.com/mundo/articulo/coronavirus-80-millones-de-ninos-menores-de-un-ano-no-han-sido-vacunados/673731
"Todas las guerras del mundo prosiguen su marcha, desde las varias que se reproducen en el Oriente Medio hasta la guerrita perpetua del ELN en Colombia. Se acabó su cese el fuego de un mes, que no había sido respondido por el Gobierno de Iván Duque, aun más empeñado que los guerrilleros en perpetuar la violencia. Y las disidencias de las desmovilizadas Farc, y los renovados paramilitares, los llamados grupos armados organizados (GAO), también siguen actuando.",,https://www.semana.com/opinion/articulo/igual-o-peor-asi-seremos-despues-de-pandemia-por-covid-19-antonio-caballero/673328
"La difícil coyuntura que ha causado la pandemia del covid-19 en todo el mundo, no solo ha puesto en problemas a los sistemas de salud, sino que ha sido todo un desafío para las empresas. Adaptarse rápidamente a las ventajas que ofrecen las herramientas virtuales mientras cuidan de la salud de los colaboradores han sido las grandes preocupaciones de muchas organizaciones, e Inter Rapidísimo, la empresa colombiana que hace parte de una industria que ha sido fundamental para afrontar la crisis, no es la excepción.","
                        Nuestro reto es seguir uniendo a Colombia
                    ",https://www.semana.com/hablan-las-marcas/articulo/nuestro-reto-es-seguir-uniendo-a-colombia/669805
"El presidente de Estados Unidos, Donald Trump, prohibió este domingo (24.05.2020) la entrada al país de extranjeros que hayan estado en Brasil, convertido en las últimas semanas en uno de los epicentros de la pandemia del coronavirus, informó la Casa Blanca.","
                        Trump prohíbe ingreso de extranjeros procedentes de Brasil
                    ",https://www.semana.com/mundo/articulo/donald-trump-prohibe-ingreso-de-extranjeros-procedentes-de-brasil/673771
"Liderazgo, empoderamiento, proyectos comunitarios y reconciliación. Esto ha representado para 340 mujeres excombatientes y habitantes de 10 municipios de Colombia la estrategia ‘Acciones comunitarias con enfoque de género y derechos de las mujeres’, de la Agencia para la Reincorporación y la Normalización (ARN) y el British Council. Esta también es la esencia de la iniciativa #SoyMujerSomosCambio, que les da voz a las mujeres colombianas.","
                        #SoyMujerSomosCambio: voces que transforman territorios
                    ",https://www.semana.com/hablan-las-marcas/articulo/soymujersomoscambio-voces-que-transforman-territorios/670936
